#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
character_owe_favor;This character will owe you a §YFavor§!.;Ce personnage vous devra une §Yfaveur§!.;Dieser Charakter wird Euch einen §YGefallen§! schuldig sein.;;¡Este personaje te deberá un §YFavor§!;;;;;;;;;x
EVTDESC_ZE_22300;While passing judgement onto criminals from the safety of your throne, a young noble is brought before you. You quickly come to the conclusion that the man is indeed guilty. Condemning him might not be the wisest choice, as he is of noble birth. If you were to pardon the man he might prove himself useful to you, as he would be in your debt.;Alors que vous jugez les criminels depuis le confort de votre trône, on vous amène un jeune noble. Vous déterminez rapidement que sa culpabilité ne fait aucun doute, mais le condamner n'est peut-être pas la meilleure solution en raison de sa noble extraction. Si vous l'acquittez, il pourrait s'avérer utile, se voyant obligé de vous rendre la faveur.;Während Ihr von Eurem sicheren Thron aus über Verbrecher richtet, wird ein junger Adliger vor Euch geführt. Ihr kommt schnell zu der Überzeugung, dass der Mann fürwahr schuldig ist. Ihn zu verurteilen mag nicht die klügste Wahl sein, da er dem Adel angehört. Wenn Ihr ihn begnadigt, könnte er Euch eventuell von Nutzen sein, da er dann in Eurer Schuld stünde.;;Al pasar juicio sobre los criminales desde la seguridad de tu trono, un joven noble se presenta antes de ti. Rápidamente llegas a la conclusión de que el hombre es de hecho culpable. Condenarle pueda no ser la elección más sabia, ya que es de noble nacimiento. Si perdonas al hombre podría ser útil para ti, ya que estaría en deuda contigo.;;;;;;;;;x
EVTOPTA_ZE_22300;Release him! Now, do not forget what I did for you...;Libérez-le ! Mais qu'il n'oublie pas ce que j'ai fait pour lui...;Lasst ihn frei! Und vergesse nicht, was ich für dich getan habe ...;;¡Libérale! Ahora, no olvides lo que hice por ti...;;;;;;;;;x
EVTOPTB_ZE_22300;Being of noble birth means nothing. To the dungeons with him!;Son sang bleu ne change rien. Emmenez-le au cachot !;Von Adel zu sein ist bedeutungslos. In den Kerker mit ihm!;;Ser de cuna noble no significa nada. ¡A los calabozos con él!;;;;;;;;;x
EVTDESC_ZE_22400;During a particularly heated argument in the council, [target_saved_voter.GetTitledFirstName] stepped in as you were about to make a fool out of yourself. [target_saved_voter.GetSheHeCap] was able to argue for your point, not only saving your face but also winning the argument for you! It is obvious that [target_saved_voter.GetFirstName]'s smooth talking was the sole reason for your success, and denying that fact would likely paint you in a bad light.;Lors d'une discussion particulièrement houleuse au Conseil, [target_saved_voter.GetTitledFirstName] a pris la parole alors que vous alliez vous ridiculiser. [target_saved_voter.GetIlElleCap] a pu faire valoir vos positions, vous évitant le ridicule et parvenant à convaincre les autres membres en votre faveur ! Il est évident que l'éloquence de [target_saved_voter.GetFirstName] est la seule raison de votre succès et nier l'évidence vous ferait passer pour un mufle.;Während einer Debatte im Rat bewahrte Euch [target_saved_voter.GetTitledFirstName] im letzten Moment davor, Euch zum Narren zu machen. [target_saved_voter.GetSheHeCap] setzte sich für Euren Standpunkt ein, wodurch Ihr Euer Gesicht wahren und die Streitfrage zu Euren Gunsten entscheiden konntet! Die Wortgewandtheit von [target_saved_voter.GetFirstName] war unbestreitbar der einzige Grund für Euren Erfolg. Dies solltet Ihr besser anerkennen.;;Durante una acalorada discusión en el consejo, [target_saved_voter.GetTitledFirstName] intervino cuando estabas a punto de quedar en ridículo. ¡[target_saved_voter.GetSheHeCap] fue capaz defender tu argumento, no sólo salvar tu prestigio, sino también ganar la discusión para ti! Es obvio que la labia de [target_saved_voter.GetFirstName] ha sido la única razón de tu éxito, y negar el hecho probablemente te dejaría en mal lugar.;;;;;;;;;x
EVTOPTA_ZE_22400;Thank you! I do truly owe you in return!;Merci ! Je vous suis redevable !;Habt Dank! Ich stehe in Eurer Schuld!;;¡Gracias! ¡Te debo una de verdad!;;;;;;;;;x
EVTOPTB_ZE_22400;Bah! I would have won that argument by myself!;Bah ! J'aurais convaincu tout le monde de toute façon !;Pah! Diese Debatte hätte ich auch selbst gewinnen können!;;¡Bah! ¡Habría ganado ese argumento por mí mismo!;;;;;;;;;x
EVTDESC_ZE_22410;During a particularly heated argument in the council, you stepped in as [From.GetBestName] was making a fool of [From.GetHerselfHimself]. You managed to soothe the debaters and win the argument for [From.GetHerHim]. This turned out to be a great move on your part, as [From.GetSheHe] now feels indebted to you!;Lors d'une discussion particulièrement houleuse au Conseil, vous avez pris le relais alors que [From.GetBestName] se ridiculisait. Vous avez ainsi réussi à apaiser le débat et fait valoir sa position, une idée qui s'est avérée excellente puisqu'[From.GetIlElle] estime dorénavant avoir une dette envers vous !;Während einer besonders hitzigen Debatte im Rat konntet Ihr [From.GetBestName] davor bewahren, sich zum Narren zu machen. Ihr konntet alle Beteiligten beschwichtigen und die Streitfrage zu Gunsten von [From.GetBestName] entscheiden. Dies erwies sich als großer Vorteil für Euch, da [From.GetSheHe] nun in Eurer Schuld steht!;;Durante una acalorada discusión en el consejo, interviniste cuando [From.GetBestName] estaba a punto de ponerse [From.GetHerselfHimself] en ridículo. ¡Has conseguido de calmar a los polemistas y ganar el argumento para [From.GetHerHim]! ¡Esto resultó ser un gran movimiento de tu parte, ya que ahora [From.GetSheHe] se siente en deuda contigo! ;;;;;;;;;x
EVTOPTA_ZE_22410;Now, when to call in the favor...;Bien, reste à savoir quand user de cette faveur...;Wann werdet Ihr diesen Gefallen wohl einfordern ...;;Ahora, cuando reclamar el favor...;;;;;;;;;x
EVTDESC_ZE_22420;During a particularly heated argument in the council, you stepped in as [From.GetBestName] was making a fool of [From.GetHerselfHimself]. You managed to soothe the debaters and win the argument for [From.GetHerHim]. Though this only infuriated [From.GetHerHim], as [From.GetSheHe] wanted to win the argument by [From.GetHerHis] own means! Throwing a tantrum like this has publicly shamed [From.GetFirstName].;Lors d'une discussion particulièrement houleuse au Conseil, vous avez pris le relais alors que [From.GetBestName] se ridiculisait. Vous avez ainsi réussi à apaiser le débat et fait valoir sa position, mais [From.GetIlElle] est néanmoins de mauvaise humeur. [From.GetIlElleCap] voulait convaincre le monde de son propre chef ! Pareille crise en public a jeté l'opprobre sur [From.GetFirstName].;Während einer besonders hitzigen Debatte im Rat konntet Ihr [From.GetBestName] davor bewahren, sich zum Narren zu machen. Ihr konntet alle Beteiligten beschwichtigen und die Streitfrage zu Gunsten von [From.GetBestName] entscheiden. Dies erzürnte [From.GetBestName] jedoch, da [From.GetSheHe] die Debatte selbst für sich entscheiden wollte! Dieser Wutanfall machte [From.GetFirstName] in aller Öffentlichkeit zum Gespött.;;Durante una acalorada discusión en el consejo, interviniste cuando[From.GetBestName] estaba a punto de ponerse [From.GetHerselfHimself] en ridículo. Has conseguido de calmar a los polemistas y ganar el argumento para [From.GetHerHim]. ¡Aunque esto sólo [From.GetHerHim] enfureció, pues [From.GetSheHe] quería ganar la discusión por [From.GetHerHis] propios medios! Montar tal berrinche este ha avergonzado públicamente a [From.GetFirstName]. ;;;;;;;;;x
